oID, oNAME, cID, howTOx
0, "3-ring binders", 2000, "Discard as garbage on regular collection day(s). Can recycle the metal parts with metal, glass, plastic, & cartons."
1, "aerosol can (empty)", 2000, "Discard as garbage on regular collection day(s). Can recycle the metal parts with metal, glass, plastic, & cartons."
2, "aluminum", 2000, "Empty & rinse. Recycle with metal, glass, plastic, & cartons"
3, "antifreeze", 2000, "Never drain antifreeze onto the street, and do not dispose down the drain, in sewers, or into streams. Have your antifreeze changed by a professional who offers recycling. Antifreeze can also be taken to upcoming DSNY SAFE disposal events. Otherwise, dry out antifreeze using kitty litter, newspaper, or other absorbent material prior to discarding in the garbage. Empty antifreeze containers can be recycled with other metal, glass, plastic & cartons."
4, "appliance containing CFC/Freon", 6000, "Donate or sell working appliances. Otherwise make appointment with DSNY to remove CFCs and recycle the metal. For safety reasons, you must remove doors prior to set out."
5, "art supplies", 2000, "Donate or sell; recycle clean paper, empty and recycle metal, plastic and glass containers; all other material, discard as garbage on regular collection day(s)"
6, "asbestos", 6000, "Asbestos should never be disposed of at the curb. Contact an appropriate private hazardous/chemical waste company."
7, "autobattery", 5000, "It is illegal to discard a car battery in the garbage or recycling or on the street. Auto batteries can be recycled at service stations or auto supply stores that sell them, or take to household special waste drop-off site or upcoming DSNY SAFE disposal event."
8, "backup battery", 5000, "Illegal to discard in garbage or recycling if less than 25 lbs. Recycle through a retailer or manufacturer take-back program or take to household special waste drop-off site or upcoming DSNY SAFE disposal event."
9, "barbeque grill", 6000, "Remove propane tank and set out as bulk metal next to recycling container on your recycling collection day. Propane tanks can't be discarded at the curb. Exchange empty propane tank for a full tank at any local propane tank dealer. If not exchanging your tank, ask dealer to recycle, or bring to a scrap metal dealer. Propane tanks can be taken to upcoming DSNY SAFE Disposal Events."
10, "battery (alkaline)", 5000, "Discard alkaline batteries in the garbage (they aren't hazardous since they no longer contain mercury) or take to household special waste drop-off site or upcoming DSNY SAFE disposal event."
11, "battery (rechargeable)", 5000, "Illegal to discard with garbage or recycling. Stores in NY State that sell rechargeable batteries or products that contain them (with the exception of small food stores) must accept up to ten batteries of the same shape and size that they sell or take to household special waste drop-off site or upcoming DSNY SAFE disposal event. Individually bag batteries or tape terminals prior to dropping off."
12, "bed frame (mostly metal or rigid plastic)", 6000, "Set out next to your recycling container on your recycling collection day. Fully wrap mattresses and box springs within a sealed plastic bag (to prevent spread of bed bugs)"
13, "bed frame (not mostly metal or rigid plastic)", 6000, "Remove mattress and box spring. Discard as bulk garbage on regular collection day(s). Fully wrap mattresses and box springs within a sealed plastic bag (to prevent spread of bed bugs)"
14, "beer bottle/can", 2000, "Empty & rinse. Recycle with other metal, glass, plastic & cartons, or return to store for refund if there is a deposit on the container."
15, "bioplastics", 2000, "Recycle with metal, glass, plastic, & cartons. Do not place these items in home composting bins, even if they say compostable. Compostable plastics can only be composted in industrial-scale facilities designed to handle such material."
16, "blanket", 6000, "Donate or sell; or discard as garbage on regular collection day(s)."
17, "book (hard cover)", 6000, "Donate or sell if in good condition. Otherwise discard as non-recyclable garbage on regular collection day(s); do not place in recycling bin."
18, "book (paperback)", 2000, "Donate or sell if in good condition. Otherwise, recycle with mixed paper and cardboard."
19, "box spring", 6000, "Must fully enclose within a sealed plastic bag (to prevent spread of bed bugs) and discard as bulk garbage on regular collection day(s). (Beds cannot be donated.)"
